Sector,NumReefPosSolutions,Colombia,Egypt,Fiji,Indonesia,Kenya & Tanzania,Mesoamerican Reef Region,Micronesia Region,Philippines,Sri Lanka,The Bahamas,Investments_GFCR,Investments_Private,Investments_Philanthropy,Investments_Public,Investments_Total,TotalRevenue,Number of Gender Positive Investments
Circular Economy and Pollution Management - Pollution Mitigation,1,0,0,0,0,100,0,0,0,0,0,11715,0,0,0,11715,0,1
Circular Economy and Pollution Management - Waste Management,9,0,0,0,11.11111111111111,0,77.77777777777779,0,0,0,11.11111111111111,100000,0,0,0,100000,0,1
Financial Mechanisms - Blue Carbon Credits,3,0,0,0,33.33333333333333,33.33333333333333,0,0,33.33333333333333,0,0,0,0,0,0,0,0,0
Financial Mechanisms - Conservation Trust Fund,2,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,66512,0
Financial Mechanisms - Insurance Mechanisms,3,33.33333333333333,0,0,33.33333333333333,0,0,0,33.33333333333333,0,0,0,99500,0,0,99500,0,1
Financial Mechanisms - MPA User Fee,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Mechanisms - Other,6,16.666666666666664,16.666666666666664,0,16.666666666666664,33.33333333333333,16.666666666666664,0,0,0,0,0,1270000,0,0,1270000,0,2
Sustainable Coastal Development - Coastal Infrastructure,3,0,0,0,33.33333333333333,0,66.66666666666666,0,0,0,0,0,900000,0,0,900000,8233076,2
Sustainable Coastal Development - Coral Restoration Revenue Models,5,0,0,0,0,0,60,20,0,0,20,0,0,0,0,0,1774338.62,0
Sustainable Coastal Development - Ecotourism,22,0,4.545454545454546,4.545454545454546,18.181818181818183,27.27272727272727,27.27272727272727,0,22.727272727272727,0,0,1030000,550000,200000,0,1780000,63350,6
Sustainable Coastal Development - Other,7,0,0,0,71.42857142857143,0,28.57142857142857,0,0,0,0,0,0,0,0,0,0,0
Sustainable Ocean Production - Aquaculture,23,0,4.3478260869565215,0,47.82608695652174,17.391304347826086,13.043478260869565,0,21.73913043478261,0,0,2310000,18200000,0,3800000,24310000,42852268.27,7
Sustainable Ocean Production - Fisheries,4,0,0,0,25,0,50,0,25,0,0,100000,0,0,0,100000,0,1
Sustainable Ocean Production - Other,11,0,0,0,9.090909090909092,0,90.9090909090909,0,0,0,0,0,6115000,0,0,6115000,5205515,3
Sustainable Ocean Production - Sustainable Small-Scale Fisheries,3,0,0,0,66.66666666666666,33.33333333333333,0,0,0,0,0,50000,0,100000,0,150000,50000,1
